# Description: Type of platform making the observation	
# Source: IMMA (ICOADS) and BUFR 0 03 001 (0 - 31)	
platform_type	description
0	Land station (synoptic network)
1	Shallow water station (fixed to sea / lake floor)
2	Ship
3	Rig / platform
4	Moored buoy
5	Drifting buoy (of drifter)
6	Ice buoy 
7	Land station (local network)
8	Land vehicle
9	Autonomous marine vehicle
32	Ice station
33	Lightship
34	Mechanical / digital / micro bathythermograph (MBT)
35	Oceanographic station data (bottle and low resolution CTD / XCTD data)
36	Profiling float
37	Subsurface float (moving)
38	Tide gauge
39	Underwater platform
40	Undulating oceanographic recorder
41	Aircraft
42	Autonomous pinneped bathythermograph
43	Coastal / Island
44	Expendable bathythermograph (XBT)
45	Glider
46	High-resolution Conductivity-Temperature-Depth (CTD) / Expendable CTD(XCTD)
