index	observing_programme	abbreviation	description	sponsor
0	1	AMDAR	Global Aircraft Meteorological DAta Relay	WMO/GOS
1	2	EPA	Environmental Protection Agency	NA
2	3	EUMETNET	Grouping of European National Meteorological Services	WMO/GOS
3	4	WMO/GAW	World Meteorological Organization/Global Atmospheric Watch	NA
4	5	GCOS	Global Climate Observing System	NA
5	6	GCW	Global Cryosphere Watch	NA
6	7	GOOS	Global Ocean Observing System	NA
7	8	IPA	International Permafrost Association	NA
8	9	JCOMM	Joint Technical Commission for Oceanography and Marine Meteorology	WMO/GOS
9	10	WMO/GOS	World Meteorological Organization/Global Observing System	NA
10	11	GTOS	Global Terrestrial Observing System	NA
11	12	IAGOS	In-service Aircraft for a Global Observing System	NA
12	13	WHYCOS	World Hydrological Cycle Observing System	NA
13	14	WMO/CLW	World Meteorological Office/Climate and Water Department	NA
14	15	ADNET	Asian dust and aerosol lidar observation network	GALION ; WMO/GAW
15	16	Aeronet	AErosol RObotic NETwork	NASA?
16	17	ANTON	Antarctic Observing Network	WMO/GOS
17	18	ASAP	Automated Shipboard Aerological Program	WMO/GOS
18	19	BSRN	Baseline Surface Radiation Network	WMO/GAW \& GCOS
19	20	CASTNET	Clean Air Status and Trends Network	(National - USA)
20	21	CIS-LiNet	Lidar network for monitoring atmosphere over CIS regions	GALION ; WMO/GAW
21	22	CLN	CREST Lidar Network	GALION ; WMO/GAW
22	23	DART	Deep-ocean Assessment and Reporting of Tsunamis	NOAA Centre for Tsunamis Research
23	24	E-AMDAR	European - Aircraft Meteorological DAta Relay	EUMETNET ; WMO/GOS
24	25	E-ASAP	European - Automated Shipboard Aerological Program	EUMETNET ; WMO/GOS
25	26	E-GVAP	European - GNSS water vapour programme	EUMETNET ; WMO/GOS
26	27	E-PROFILE	European - wind profiles from radar	EUMETNET ; WMO/GOS
27	28	E-SURFMAR	European - Surface Marine Operational Service	EUMETNET ; WMO/GOS
28	29	EARLINET	European Aerosol Research Lidar Network	GALION ; WMO/GAW
29	30	GALION	GAW Aerosol Lidar Observation Network	WMO/GAW
30	31	GAW-PFR	GAW-Precision Filter Radiometers	WMO/GAW
31	32	German AOD Network	German Aerosol Optical Depth Network	WMO/GAW
32	33	GLOSS	Global Sea Level Observing System	JCOMM ; WMO/GOS
33	34	GRUAN	GCOS Reference Upper Air Network	GCOS
34	35	GSN	GCOS Surface Network	GCOS
35	36	GTN-G	Global Terrestrial Network - Glaciers	GCOS
36	37	GTN-H	Global Terrestrial Network - Hydrology	WMO/CLW ; GCOS ; GTOS
37	38	GTN-P	Global Terrestrial Network - Permafrost	IPA ; GCOS ; GTOS
38	39	GUAN	GCOS Upper Air Network	GCOS
39	40	IAGOS-MOZAIC	Measurement of Ozone and Water Vapour on Airbus in-service Aircraft	IAGOS
40	41	LALINET	Latin America Lidar Network	GALION; WMO/GAW
41	42	MPLNET	Micro Pulse Lidar Network	GALION; WMO/GAW
42	43	NDACC	Network for the Detection of Atmospheric Composition Change	GALION; WMO/GAW
43	44	OPERA	European Weather Radar Project	EUMETNET; (WMO/GOS)
44	45	PIRATA	Prediction and Research Moored Array in the Atlantic	GOOS; WMO/GOS
45	46	PolarAOD	Polar Aerosol Optical Depth Measurement Network Project	WMO/GAW
46	47	RAMA	Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction	NOAA
47	48	RBCN	Regional Basic Climatological Network	WMO/GOS
48	49	RBON	Regional Basic Observing Network	WMO/GOS
49	50	RBSN	Regional Basic Synoptic Network	WMO/GOS
50	51	TAO	Tropical Atmosphere and Ocean Array	NOAA; GCOS
51	52	SKYNET	Aerosol -cloud-radiation interaction in the atmosphere project	WMO/GAW
52	53	SibRad	NA	WMO/GAW
53	54	SOOP	Ship of Opportunity	JCOMM ; WMO/GOS
54	55	U.S. IOOS	United States Integrated Ocean Observing System	(National - USA)
55	56	VOS	Voluntary Observing Fleet	JCOMM ; WMO/GOS
56	57	VOSCLIM	Voluntary Observing Fleet (VOS) Climate Project	JCOMM ; WMO/GOS
57	58	WRAP	Worldwide Recurring ASAP Project	JCOMM ; WMO/GOS
