element_name	occurance	type	external_table	description
station_primary_id	1	varchar		Primary (e.g. WMO) ID for station
station_primary_id_scheme	1	int (fk)	id_scheme	Scheme used for primary ID
station_record_number	1	int		Record number for this station entry
station_secondary_id	0+	varchar		Secondary (e.g. local) ID for station
station_secondary_id_scheme	0+	int (fk)	id_scheme	Scheme used for secondary ID
station_name	1	varchar		Name of station (e.g. Tateno)
station_abbreviation	1	varchar		Abbreviation of station name (e.g. TAT)
alternative_name	0+	varchar[]		NA
station_crs	1	int (fk)	crs	coordinate reference system used to report stations location
station_longitude	1	numeric		Report position for station if stationary or NULL if mobile. If more than one estimate record best here and additional values using optional fields.
station_latitude	1	numeric		Report position for station if stationary or NULL if mobile
local_gravity	1	numeric	NA	Local gravity at station location (units ms-2)
start_date	1	timestamp		Date that the station first started reporting in this configuration
end_date	1	timestamp		Last data the station reported in this configuration
station_type	1	int (fk)	station_type	Type of reporting station
platform_type	1	int (fk)	platform_type	Generic type of observing platform
platform_sub_type	1	int (fk)	platform_sub_type	Specific type of observing platform
operating_institute	1	int (fk)	institute	Institute operating the station (e.g. National Oceanography Centre)
operating_organisation	1	int (fk)	organisation	Parent organsiation for the institute (e.g. Natural Environment Research Council)
operating_territory	1	int (fk)	sub_region	Sub-region where station is located or country of registry for mobile station
city	1	int (fk)	cities	Nearest city / town to station location
observing_frequency	1	int (fk)	observing_frequency	Typical frequency of observations for this station (reports per day)
telecommunication_method	1	int (fk)	communication_method	Method used to report observations
station_automation	1	int (fk)	automation_status	Whether station is automated, manual or mixed
measuring_system_model	1	int (fk)	measuring_system_model	Station / AWS model type
measuring_system_id	1	varchar		ID or serial number of measuring system
observed_variables	1+	int[] (fk)	observed_variable	array indicating which variables are observed by this station
comment	1	varchar		Any other comments / footnotes
	0+	NA		See station_configuration_fields for valid optional fields and types
